,date,revenue,rev_per_transaction
701,2014-10-07,1252691.6,2899.749074074074
702,2014-10-10,1431572.36,2732.0083206106874
703,2014-10-13,1463662.02,3561.2214598540145
704,2014-10-16,1422111.24,2447.695765920826
705,2014-10-19,1307006.4,2614.0128
706,2014-10-22,1650923.7000000004,3074.345810055867
707,2014-10-25,1329619.79,2466.8270686456403
708,2014-10-28,1335639.22,2890.9939826839827
709,2014-10-31,1606897.35,2884.9144524236985
710,2014-11-03,1266423.47,2605.8096090534978
711,2014-11-06,1265878.48,2045.0379321486269
712,2014-11-09,1243626.6,2048.80823723229
713,2014-11-12,1457077.16,2601.9235
714,2014-11-15,1403379.54,2249.0056730769234
715,2014-11-18,1429601.33,2687.220545112782
716,2014-11-21,1111029.7,1766.3429252782194
717,2014-11-24,1492608.0,2769.21706864564
718,2014-11-27,1224429.32,1726.980705218618
719,2014-11-30,1470379.5599999996,2375.411243941841
720,2014-12-03,1149123.5,2041.0719360568385
721,2014-12-06,1360045.8,2301.26192893401
722,2014-12-09,1222161.81,2182.4318035714286
723,2014-12-12,1264439.88,1715.657910447761
724,2014-12-15,1351903.85,2086.27137345679
725,2014-12-18,1108773.0,1802.8829268292684
726,2014-12-21,1188717.48,2391.7856740442658
727,2014-12-24,1240583.3299999998,2628.354512711864
728,2014-12-27,1263774.55,3559.928309859155
729,2014-12-30,1146848.67,2226.890621359223
730,2015-01-02,1267761.5,2021.9481658692184
731,2015-01-05,1166988.8,1553.9131824234355
732,2015-01-08,938075.2,994.7775185577942
733,2015-01-11,1004330.25,1330.2387417218542
734,2015-01-14,668935.0,1102.0345963756179
735,2015-01-17,677501.4400000001,1070.3024328593997
736,2015-01-20,641951.86,983.0809494640122
737,2015-01-23,725422.39,1283.9334336283187
738,2015-01-26,866260.7700000001,1604.1866111111115
739,2015-01-29,993622.59,1435.8707947976877
740,2015-02-01,940487.92,1975.8149579831934
741,2015-02-04,898474.72,1453.8425889967637
742,2015-02-07,970889.92,1407.0868405797103
743,2015-02-10,828682.24,1302.9594968553458
